UID,Block,Row,Pot,Population,Microbiome,Nitrogen,Replicate,Aboveground_Biomass,Belowground_Biomass
1,1,2,16,P3,Nonlocal_R,Ambient_N,1,0.0361,0.0494
2,1,3,17,P3,Nonlocal_R,Ambient_N,2,0.1157,0.0990
3,2,4,19,P3,Nonlocal_R,Ambient_N,3,0.0899,0.0297
4,2,5,12,P3,Nonlocal_R,Ambient_N,4,0.1361,0.0720
5,4,4,19,P3,Nonlocal_R,Ambient_N,5,NA,NA
6,8,4,4,P3,Nonlocal_R,Ambient_N,6,0.0359,0.0314
7,1,4,16,P3,Nonlocal_R,N_Addition,1,0.2076,0.1677
8,3,6,6,P3,Nonlocal_R,N_Addition,2,0.3446,0.2525
9,3,6,20,P3,Nonlocal_R,N_Addition,3,0.3007,0.2803
10,6,3,5,P3,Nonlocal_R,N_Addition,4,0.2668,0.1069
11,7,3,3,P3,Nonlocal_R,N_Addition,6,0.2625,0.1208
12,9,1,10,P3,Nonlocal_R,N_Addition,5,0.0768,0.1297
13,2,1,15,P3,Nonlocal_U,Ambient_N,6,0.0909,0.0508
14,7,1,4,P3,Nonlocal_U,Ambient_N,1,0.0095,0.0154
15,7,5,6,P3,Nonlocal_U,Ambient_N,2,NA,NA
16,8,4,2,P3,Nonlocal_U,Ambient_N,3,0.0125,0.0165
17,9,2,8,P3,Nonlocal_U,Ambient_N,5,0.0586,0.0269
18,9,4,4,P3,Nonlocal_U,Ambient_N,4,0.0402,0.0360
19,1,1,15,P3,Nonlocal_U,N_Addition,1,0.2015,0.1157
20,4,1,11,P3,Nonlocal_U,N_Addition,2,0.2842,0.0706
21,4,3,6,P3,Nonlocal_U,N_Addition,3,0.4110,0.1703
22,5,3,5,P3,Nonlocal_U,N_Addition,4,0.0847,0.0712
23,8,2,13,P3,Nonlocal_U,N_Addition,5,0.0828,0.0639
24,9,2,20,P3,Nonlocal_U,N_Addition,6,0.4042,0.1773
25,2,4,13,P3,Local,Ambient_N,1,0.0298,0.0341
26,4,4,12,P3,Local,Ambient_N,3,0.0127,0.0086
27,5,3,6,P3,Local,Ambient_N,2,0.0185,0.0219
28,5,6,7,P3,Local,Ambient_N,4,0.3000,0.0181
29,6,5,11,P3,Local,Ambient_N,6,0.0731,0.0678
30,8,4,1,P3,Local,Ambient_N,5,0.0762,0.0533
31,3,1,9,P3,Local,N_Addition,1,0.0980,0.0513
32,3,3,18,P3,Local,N_Addition,2,0.2018,0.0910
33,5,6,4,P3,Local,N_Addition,3,0.1645,0.1437
34,6,5,20,P3,Local,N_Addition,4,0.2926,0.0924
35,6,6,20,P3,Local,N_Addition,5,0.4615,0.5262
36,7,6,14,P3,Local,N_Addition,6,0.1285,0.1253
37,1,1,14,P13,Nonlocal_R,Ambient_N,1,0.0088,0.0279
38,2,1,9,P13,Nonlocal_R,Ambient_N,2,0.0152,0.0182
39,3,1,10,P13,Nonlocal_R,Ambient_N,3,0.0139,0.0228
40,3,3,12,P13,Nonlocal_R,Ambient_N,4,0.0280,0.0146
41,7,2,19,P13,Nonlocal_R,Ambient_N,5,NA,NA
42,7,5,11,P13,Nonlocal_R,Ambient_N,6,NA,NA
43,3,4,4,P13,Nonlocal_R,N_Addition,3,0.0289,0.0189
44,4,5,3,P13,Nonlocal_R,N_Addition,4,NA,NA
45,6,6,17,P13,Nonlocal_R,N_Addition,5,NA,NA
46,7,3,10,P13,Nonlocal_R,N_Addition,6,0.0357,0.0247
47,9,6,5,P13,Nonlocal_R,N_Addition,1,NA,NA
48,9,6,11,P13,Nonlocal_R,N_Addition,2,NA,NA
49,1,2,4,P13,Nonlocal_U,Ambient_N,1,0.0057,0.0047
50,1,6,5,P13,Nonlocal_U,Ambient_N,2,NA,NA
51,5,3,9,P13,Nonlocal_U,Ambient_N,3,0.0805,0.0793
52,5,6,1,P13,Nonlocal_U,Ambient_N,4,NA,NA
53,6,4,3,P13,Nonlocal_U,Ambient_N,5,NA,NA
54,8,2,11,P13,Nonlocal_U,Ambient_N,6,NA,NA
55,1,5,9,P13,Nonlocal_U,N_Addition,1,NA,NA
56,3,1,14,P13,Nonlocal_U,N_Addition,2,0.0466,0.0575
57,4,1,15,P13,Nonlocal_U,N_Addition,3,NA,NA
58,5,4,7,P13,Nonlocal_U,N_Addition,4,0.0765,0.1007
59,8,1,20,P13,Nonlocal_U,N_Addition,5,NA,NA
60,8,6,16,P13,Nonlocal_U,N_Addition,6,0.1915,0.1111
61,2,1,10,P13,Local,Ambient_N,1,NA,NA
62,4,2,15,P13,Local,Ambient_N,2,NA,NA
63,4,6,2,P13,Local,Ambient_N,3,NA,NA
64,5,3,10,P13,Local,Ambient_N,4,NA,NA
65,7,6,3,P13,Local,Ambient_N,5,0.0888,0.0422
66,8,1,16,P13,Local,Ambient_N,6,0.0575,0.0186
67,2,4,18,P13,Local,N_Addition,3,NA,NA
68,2,4,20,P13,Local,N_Addition,4,0.1634,0.2098
69,6,2,19,P13,Local,N_Addition,5,0.1947,0.1538
70,6,6,12,P13,Local,N_Addition,6,0.0540,0.0762
71,9,4,9,P13,Local,N_Addition,1,0.1793,0.0815
72,9,5,20,P13,Local,N_Addition,2,0.1379,0.1044
73,1,4,8,P14,Nonlocal_R,Ambient_N,1,NA,NA
74,2,6,3,P14,Nonlocal_R,Ambient_N,2,0.0207,0.0161
75,5,1,14,P14,Nonlocal_R,Ambient_N,3,NA,NA
76,6,5,10,P14,Nonlocal_R,Ambient_N,4,0.0151,0.0124
77,7,4,16,P14,Nonlocal_R,Ambient_N,5,0.0749,0.0506
78,8,5,14,P14,Nonlocal_R,Ambient_N,6,NA,NA
79,2,4,14,P14,Nonlocal_R,N_Addition,2,0.0441,0.0541
80,3,2,5,P14,Nonlocal_R,N_Addition,3,0.1054,0.0828
81,6,1,13,P14,Nonlocal_R,N_Addition,4,NA,NA
82,6,5,4,P14,Nonlocal_R,N_Addition,5,NA,NA
83,7,3,4,P14,Nonlocal_R,N_Addition,6,0.1179,0.0526
84,9,1,8,P14,Nonlocal_R,N_Addition,1,NA,NA
85,1,4,13,P14,Nonlocal_U,Ambient_N,2,NA,NA
86,2,6,10,P14,Nonlocal_U,Ambient_N,3,0.0386,0.0276
87,5,1,4,P14,Nonlocal_U,Ambient_N,4,0.0371,0.0407
